system	meta_group	total_cells_node	node_age_mean	node_age_weighted	n_celltypes_in_node	delta_input	delta_output	delta_delta
Gastrulation	Ga_M12	877	7.246294184720639	7.519393741851369	1	0	0.1157904344289066	-0.1157904344289066
Gastrulation	Ga_M13	2214	5.9286359530261965	6.093416423761182	1	0	0	0
Gastrulation	Ga_M14	4992	6.545873397435898	6.957633776056414	1	0	0.279927550944807	-0.279927550944807
Gastrulation	Ga_M15	6516	5.124309392265193	5.709787438715778	1	0	0	0
Gastrulation	Ga_M16	354	3.3192090395480225	3.183132530120482	1	0	0	0
Gastrulation	Ga_M17	982	7.2922606924643585	7.077355623100304	1	0	0.0278000435734618	-0.0278000435734618
Gastrulation	Ga_M18	3194	5.718847839699436	5.445533357370507	1	0	0.0632803158499148	-0.0632803158499148
Gastrulation	Ga_M19	258	7.441860465116279	7.232915196946251	1	0	0.23860047244444538	-0.23860047244444538
Gastrulation	Ga_M2	268	3.014925373134328	NA	1	0.0182618173494132	0	0.0182618173494132
Gastrulation	Ga_M20	1429	7.395381385584325	6.6836210170922135	1	0	0.6435522959140666	-0.6435522959140666
Gastrulation	Ga_M21	1896	6.431434599156118	6.468793419121943	1	0	0.145126807858515	-0.145126807858515
Gastrulation	Ga_M22	1065	6.949295774647887	6.8294282431793585	1	0	0.229282654419906	-0.229282654419906
Gastrulation	Ga_M23	2598	5.57197844495766	5.193701399688958	1	0	0.0274445644601571	-0.0274445644601571
Gastrulation	Ga_M24	1075	7.56	7.582155574502231	1	0	0.2421542323865414	-0.2421542323865414
Gastrulation	Ga_M25	1064	5.9718045112781954	6.10156606889766	1	0	0.0804528861305732	-0.0804528861305732
Gastrulation	Ga_M26	2580	7.1468992248062015	7.21713978623037	1	0	0.2432290275332194	-0.2432290275332194
Gastrulation	Ga_M27	1228	7.493485342019544	7.529891176332029	1	0	0.272576150052361	-0.272576150052361
Gastrulation	Ga_M28	5501	2.7562261407016906	2.6762772098503884	1	0	0	0
Gastrulation	Ga_M29	721	7.783633841886269	7.988870339454647	1	0	0.2571845518548095	-0.2571845518548095
Gastrulation	Ga_M3	8894	4.365302451090623	3.615744258079598	1	0.011861603585829	0	0.011861603585829
Gastrulation	Ga_M30	952	5.131302521008403	5.861117705535856	1	0	0.251804966762825	-0.251804966762825
Gastrulation	Ga_M31	6185	6.044462409054163	6.140950618952095	1	0	0.196739995127424	-0.196739995127424
Gastrulation	Ga_M32	3107	6.832635983263598	6.869166641430419	1	0	0.49801932183981	-0.49801932183981
Gastrulation	Ga_M33	6732	6.991532976827094	6.688456082505846	1	0	0	0
